code_commune,libelle_commune,P22_LOG,P22_RP,P22_NBPI_RP,P22_RP_PROP
11069,"Carcassonne",27517.85,23335.92,91241.42,11115.85
13004,"Arles",29028.08,23788.91,91721.52,12346.16
13055,"Marseille",466275.69,414302.06,1293065.25,178225.87
14118,"Caen",70873.14,62069.70,186438.70,18527.68
16015,"Angoulême",26661.93,23450.73,82101.11,8468.45
18033,"Bourges",38443.02,32715.02,122313.97,15768.11
19272,"Tulle",9225.16,7275.71,27895.48,3505.03
21231,"Dijon",100667.09,89311.72,274139.07,35102.09
23096,"Guéret",8559.68,6993.97,27219.50,3174.90
25056,"Besançon",73050.33,64400.63,212787.81,22759.62
29019,"Brest",85545.02,76581.62,274698.29,32683.14
31555,"Toulouse",318682.80,280598.56,828382.48,90387.34
33063,"Bordeaux",168457.51,146516.69,444596.41,47951.53
34172,"Montpellier",184053.59,162861.64,466814.12,50546.85
35238,"Rennes",135693.99,120346.93,382461.91,41234.25
37261,"Tours",90790.11,77766.02,242503.75,24983.80
38185,"Grenoble",101685.64,83825.16,251875.82,30518.32
40192,"Mont-de-Marsan",17151.32,15519.04,62016.78,7543.55
44109,"Nantes",193629.32,172690.22,550100.37,62556.03
46042,"Cahors",13253.33,10956.91,41301.91,5326.28
48095,"Mende",7263.34,6283.78,23713.15,2844.02
49007,"Angers",92391.26,83926.96,277966.28,27169.44
51454,"Reims",106714.58,92602.91,313341.34,25928.28
57463,"Metz",71496.09,61524.59,204041.60,20663.13
59350,"Lille",145126.96,128344.80,387732.37,35368.58
61001,"Alençon",15158.42,13614.37,46739.35,4838.46
63113,"Clermont-Ferrand",93393.96,80835.52,254863.06,25681.58
65440,"Tarbes",30400.70,25492.03,84909.86,8753.88
67482,"Strasbourg",163312.80,141239.54,435441.41,37919.06
69123,"Lyon",318612.39,271602.39,802693.89,91501.42
72181,"Le Mans",84816.66,73588.30,274921.40,33243.61
75056,"Paris",1399122.26,1125472.68,2908916.17,375594.90
76095,"Bihorel",4416.25,4037.94,17300.87,2196.76
76540,"Rouen",76076.02,66258.58,194943.66,18265.09
80021,"Amiens",78575.73,68964.29,228853.03,21268.69
83069,"Hyères",40682.47,27970.74,94213.20,14080.85
89024,"Auxerre",21648.87,18201.22,64433.60,7358.02
90010,"Belfort",27561.13,23385.30,80208.30,7488.74
97100,Basse-Terre,N/A,N/A,N/A,N/A
97105,"Basse-Terre",6151.96,4445.89,16253.15,1623.42
97200,Fort-de-France,N/A,N/A,N/A,N/A
97209,"Fort-de-France",48127.91,37713.42,131525.23,14561.97
97400,Saint-Denis,N/A,N/A,N/A,N/A
97600,Mamoudzou,N/A,N/A,N/A,N/A
08394,"Saint-Pierremont",71.35,36.01,195.51,29.84
03310,"Vichy",22400.14,15764.45,53068.01,6395.00
06088,"Nice",238749.86,175141.28,485424.28,82873.32
01053,"Bourg-en-Bresse",23765.99,20927.11,73811.74,7786.55
09122,"Foix",6434.19,5127.69,20343.04,2442.35
2A004,"Ajaccio",36361.96,31960.47,108002.53,14848.17
